ProjectID,Comments
11357887,    Update README.md
11357887,    Update README.md
11357887,    Update README.md
11357887,    Update README.md
11357887,    Create README.md
11357999,    Add Wiki-link.
11357999,    Updated docs
11357999,    Added nipple piercing scripts
11357999,    Recompiled everything.
11357999,    Update README.md
11357999,    
11357999,    Pulled (rough) documentation out of comments to make it easier for new modders.
11357999,    Initial commit
11360808,    Initial commit
11363553,"    Update README and Add .gitignore, Gemfile."
11363553,    Initial commit
11365806,    Initial commit
11367075,    Initial commit
11369069,    Update README.md
11369069,    Updated README with more detailed instructions
11373734,"    Retire github mirror, repo moved to opendev"
11373734,    Clean up OpenStack-isms
11373734,    
11373734,    Use an IETF recommended domain name (example.org) in examples and
11373734,    class parameter defaults instead of openstack.org. The only default
11373734,    behavior change is for sender_email_address and the one site where
11373734,    the default value would have been viable already has an override in
11373734,    place to the same string anyway so this should result in no
11373734,    effective behavior change.
11373734,    
11373734,    Change-Id: I3e1bbb0bf4bfdd71f56cd429e890e90f2881bec5
11373734,    Allow overriding the cert/key file paths
11373734,    
11373734,    * manifests/cert.pp: This adds the flexibility to depend on
11373734,    existing files even if they're created as part of the storyboard
11373734,"    dependency chain, though with the loss of some error handling if a"
11373734,    deployer neglects to ensure the file itself exists before starting
11373734,    the apache daemon.
11373734,    
11373734,    Change-Id: I62d0bc7899703d7cc17f402cf34bd92357f44b58
11373734,    StoryBoard Deferred Processors
11373734,    
11373734,    This patch adds a puppet module that will start up N worker threads
11373734,    to handle messages sent to the deferred processing queue. It does so
11373734,    by making use of the new storyboard-worker-daemon command
11373734,    created in the below patch. Both upstart and sysvinit scripts are
11373734,"    provided, with sysvinit being the default."
11373734,    
11373734,    https://review.openstack.org/#/c/122890/
11373734,    
11373734,    Change-Id: I5565cbf8062457d343d3e02dbfaae2852a359d91
11373734,    Story: 96
11373734,    Removed default passwords
11373734,    
11373734,    The default passwords for the various storyboard subcomponents
11373734,    as well as the init component were removed. Documentation has
11373734,    also been updated.
11373734,    
11373734,    Change-Id: I1041154b6d30722649776eca15a0f04b090ab5c8
11373734,    Added RabbitMQ to StoryBoard
11373734,    
11373734,"    In order to support subscriptions in StoryBoard, we're adding a"
11373734,    queueing system to support triggered events. The specification in
11373734,"    question is #95307, which goes into detail on the various different"
11373734,    options evaluated. I also anticipate that this system can be used
11373734,    for report generation.
11373734,    
11373734,    Change-Id: Ia4cc91f1e75365a9fb41ca163e55548023233412
11373734,    Story: 96
11373734,    Modularized StoryBoard Module
11373734,    
11373734,    In order to get the puppet module for storyboard up to a level where
11373734,"    we can publish it to puppetforge, I did some work on it to create"
11373734,    separate modules which can be used by anyone to install storyboard.
11373734,    
11373734,"    - API and Webclient are now installed via storyboard::application,"
11373734,      which assumes that you can provide the DB connection criteria.
11373734,"    - storyboard::cert is now a separate class, which accepts either"
11373734,"      files or strings, which generates the SSL certificate and chain"
11373734,      files for storyboard.
11373734,    - storyboard::params is our dependency checker.
11373734,"    - storyboard::init will install a standalone, entirely"
11373734,      self-contained instance of storyboard.
11373734,    - Added various puppet module files necessary for eventual
11373734,      deployment to puppetforge.
11373734,    - Added README.md documentation for later puppetforge addition.
11373734,    
11373734,"    This patch also includes a new module: example42-puppi, which is a"
11373734,"    series of convenience utilities useful for deployment. For example,"
11373734,    puppi::netinstall (used here) will fetch tarballs and zip files and
11373734,    extract them into a provided directory. It also contains changes to
11373734,    the storyboard configuration for the new refresh token support patch
11373734,    in #94363
11373734,    
11373734,    Change-Id: I6ab8c24b308df38774fc0694d218dcb5022cd899
11338449,    Initial commit
11338562,    301: repository moved
11338562,    Initial commit
11348942,    Initial commit
11348942,    Added source plugins
11352093,    Initial commit
11352278,    Initial commit
11359405,    Update README.md
11359405,    Initial commit
11359405,    Update LICENSE.md
11359405,    Create LICENSE.md
11359537,    Initial Commit
11366318,    Updated README
11366318,    Update README.md
11366318,    readme
11370804,    [wip] @todo email sending part
11370804,    Initial commit
11372639,    Update README to mention .install magic
11372639,    Formatting
11372639,    moving views_ui_variable to luggage_ui feature
11372639,    refactoring feature name
11372639,    Initial commit
11334552,    Update README.md
11334552,    Update README.md
11334552,    Update README.md to reflect inclusion of constants
11334552,    Update README.md
11334552,    Update README.md
11334552,    Update README.md
11334552,    Update README.md
11334552,    Initial commit
11334552,    removed extraneous prettyPrint function from ConnectionInfo
11335046,    Image creation on README
11335046,    Added missing header elements
11335046,    README adjusts
11335046,    README updated
11335046,    Setter for description and write method
11335046,    README updated for new methods
11335046,    README updated
11335046,    Description and licenses
11335046,    Empty gem
11335047,    Initial import
11335172,    second commit
11335172,    converted readme to markdown
11335243,    Add comments about i3 and Heroku
11335243,    fix markdown?
11335243,    Installation instructions and usage
11335243,    Initial commit
11335258,    merged out stuff
11335258,    Added Adam's code to project
11335258,    moved all files
11335258,    Initial commit
11335258,    Changed name from tcphighjack -> tcphijack
11335258,    Added TODO: list
11335258,    Added more text to README.md
11335258,    Fixed some typos
11335258,"    Updated README.md to include some information about the project, and some resources."
11335258,    Initial commit
11335258,    Initial commit
11335462,    first commit
11335462,    init
11335462,    
11335462,    init
11335462,    init
11335462,    
11335462,    init
11336173,    Create README.md
11336365,    edit README.md
11336365,    Initial commit
11336410,    Initial commit
11336679,    Update Readme
11336679,    Update Readme
11336679,    Remove planned features since they're now all implemented
11336679,    Remove AI characters from planned features
11336679,    Add mention of GLTools and planned features to readme
11336679,    Initial commit
11336951,    README.md: Fix Gnome touch scroll issue link
11336951,    README.md: Mention Gnome scrolling issues
11336951,"    README.md: Add a separate ""Known issues"" section"
11336951,    README.md: Replace a tab with spaces
11336951,    README.md: Remove parens around thumbs-up
11336951,    README.md: Add a note on voting for issues
11336951,    README.md: Link to maintainer's buymeacoffee profile
11336951,    README.md: Add link to maintainer Liberapay profile
11336951,    README.md: Handle another DKMS issue
11336951,    Add installation of X.org configuration
11336951,    README.md: Add a note on Secure Boot
11336951,    README.md: Update installation instructions
11336951,    README.md: Clarify missing button numbers
11336951,    README.md: Add module unloading to Configuration
11336951,    README.md: Remove private key note
11336951,    
11336951,    Remove the note on private key reading error in favor of the section
11336951,    mentioning SSL errors.
11336951,    README.md: Move .deb instructions out of uninstalling
11336951,    README.md: Add Travis CI build status badge
11336951,    README.md: Add configuration section
11336951,    README.md: Refer to support from support section only
11336951,"    README.md: Remove ""wrapping up"" post link"
11336951,    README.md: Add Support section
11336951,    README.md: Minor English fixes
11336951,    README.md: Add a note on SSL errors during installation
11336951,    README.md: Build Debian package on old distros too
11336951,    
11336951,"    Make Debian package building instructions work on older distros too,"
11336951,    where dpkg-buildpackage doesn't support '--no-sign' option.
11336951,    README.md: Add section on DKMS issue
11336951,    README.md: Add a section on building Debian package
11336951,    Add link to Patreon to README.md
11336951,    Remove mention of disabled maillist from README.md
11336951,    Remove note about developer leaving
11336951,    
11336951,"    Remove the note about the driver developer leaving from README.md, as"
11336951,    that's not really happening.
11336951,    Note developer is leaving in README.md
11336951,    Clarify uninstallation up/down-grading instructions
11336951,    Update README.md with DKMS and .deb instructions
11336951,    Drop reference to huion-driver from README.md as unnecessary
11336951,    Do not mention pull requests in README.md to avoid confusion
11336951,    Replace README.md tablet list with a link
11336951,    
11336951,    Replace tablet compatibility list in README.md with a link to the list
11336951,    on the website.
11336951,    Add Polostar PT-1001 tablet driver
11336951,    
11336951,"    Add hid-polostar.c - a driver for Polostar PT-1001 tablet, aka Leogics"
11336951,    PT-1001.
11336951,    README: Cleanup (un)installation instructions
11336951,    Direct to release downloads for installation
11336951,    Mention private key reading errors in the README
11336951,    Add Huion 540 to compatibility table
11336951,    Add KYE MousePen i608X v2 to compatibility table
11336951,    Resize compatibility table
11336951,    
11336951,    Resize compatibility table in README.md to allow addition of tablets
11336951,    with longer model names.
11336951,    Mention root permissions in uninstall instructions
11336951,    Update link to further setup instructions
11336951,    Add Huion H610 Pro to support table
11336951,"    Separate ""Upstream in"" column with more space in README.md"
11336951,    Add upstream release support column to README.md
11336951,    Remove notice on osu!tablet being unverified H420
11336951,    Remove link to huion-driver as it's being renamed
11336951,    Don't mention rebinding script in README.md
11336951,    
11336951,    Don't mention rebinding script installation in README.md as it is
11336951,    confusing and unnecessary.
11336951,    Add link to DIGImend project wiki to README.md
11336951,    Add Yiynova testing results to README.md
11336951,    Add uninstallation support
11336951,    Add draft support for some Yiynova tablets
11336951,    
11336951,"    Add theoretical support for Yiynova MSP19U, MSP19U+ and MVP22U+ tablets."
11336951,    Link to the superseeded huion-driver
11336951,    Mention Red Hat kernel headers package name
11336951,    Use backticks for quoting in README.md where appropriate
11336951,    Rename package to digimend-kernel-drivers
11336951,    
11336951,    Update README.md to reflect change of the package's name to
11336951,"    ""digimend-kernel-drivers"". Rename hid-huion.conf to digimend.conf to"
11336951,    reflect the more general purpose.
11336951,    Ask for pull requests for updates
11336951,    Add information on status of rebranded tablets
11336951,    
11336951,"    Reformat tablet support table to accomodate rebranded tablets, add"
11336951,    osu!tablet.
11336951,    Sort tablet support table
11336951,    Add H420 testing result
11336951,    Add testing results of two more tablets
11336951,    Tested K58
11336951,    
11336951,    Linux 3.11.0-15-generic #23-Ubuntu SMP Mon Dec 9 18:17:04 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux
11336951,    Add depmod configuration installation
11336951,    
11336951,    Add installation of a depmod configuration file overriding the hid-huion
11336951,    module location. Remove manual override instructions from README.md.
11336951,    Clarify Ubuntu depmod directory search order
11336951,    Relax old driver unloading requirement in README
11336951,    Mention Ubuntu depmod search list tweak in README
11336951,    Mention unloading mainline driver in README.md
11336951,    Add README.md
11337086,    Initial commit
11338010,    Update README.md.
11338010,    README.md formatting.
11338010,    Initial commit.
11338010,    Initial commit.
11338187,    Update README.md
11338187,    Update README.md
11338187,    Added source code of client and server
11338187,    Initial commit
11338637,    Update README.md
11338637,    Update README.md
11338637,    Update README.md
11338637,    Update README.md
11338637,    Update README.md
11338637,    Update README.md
11338637,    Initial commit
11338784,    Update README.md
11338784,    Initial commit
11338859,    Initial commit
11338960,    Unicode 7.0.0 update; added generator scripts.
11338960,    
11338960,    for  localedata/ChangeLog
11338960,    
11338960,            [BZ #17588]
11338960,            [BZ #13064]
11338960,            [BZ #14094]
11338960,            [BZ #17998]
11338960,            * unicode-gen/Makefile: New.
11338960,"            * unicode-gen/unicode-license.txt: New, from Unicode."
11338960,"            * unicode-gen/UnicodeData.txt: New, from Unicode."
11338960,"            * unicode-gen/DerivedCoreProperties.txt: New, from Unicode."
11338960,"            * unicode-gen/EastAsianWidth.txt: New, from Unicode."
11338960,"            * unicode-gen/gen_unicode_ctype.py: New generator, from Mike"
11338960,            FABIAN <mfabian@redhat.com>.
11338960,"            * unicode-gen/ctype_compatibility.py: New verifier, from"
11338960,            Pravin Satpute <psatpute@redhat.com> and Mike FABIAN.
11338960,            * unicode-gen/ctype_compatibility_test_cases.py: New verifier
11338960,"            module, from Mike FABIAN."
11338960,"            * unicode-gen/utf8_gen.py: New generator, from Pravin Satpute"
11338960,            and Mike FABIAN.
11338960,"            * unicode-gen/utf8_compatibility.py: New verifier, from Pravin"
11338960,            Satpute and Mike FABIAN.
11338960,            * charmaps/UTF-8: Update.
11338960,            * locales/i18n: Update.
11338960,            * gen-unicode-ctype.c: Remove.
11338960,"            * tst-ctype-de_DE.ISO-8859-1.in: Adjust, islower now returns"
11338960,            true for ordinal indicators.
11338988,    Update README.md
11338988,    Create README.md
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    initial commit
11339136,    initial commit
11339136,    initial commit
11339136,    initial commit
11339136,    initial commit
11339136,    initial commit
11339136,    initial commit
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339136,    added additional empty OS folders with library folder
11339136,    added empty OS folders
11339136,    initial commit
11339296,    Make cmake the default build option (#86)
11339296,    
11339296,    Make cmake the default build option
11339296,    Add support for Honeycomb simulator
11339296,    Add text to README explicitly requiring c11
11339296,    Update README.md with the info on tutorial directory
11339296,    Restructure installation process to place everything under a single install directory
11339296,    Add travis-ci support
11339296,    Use xml2-config in install script and makefiles
11339296,    update README
11339296,    update README
11339296,    first draft of parsing and printing locality graphs and paths
11339296,    add note on astyle
11339296,"    fix use of the terms future and promise, work on bringing hclib in line with the cppchecks"
11339296,    clarify instructions on alternative C compilers
11339296,    enhance readme based on experiences building on titan
11339296,    make hclib naming conventions consistent
11339296,    clean up OCR code
11339296,    readme
11339296,    readme
11339296,    push readme
11339296,    push readme
11339296,    push readme
11339296,    add files
11339296,    Initial commit
11339296,    Add JSMN source into code base to remove external dependency
11339296,    rename confusing benchmark folder name
11339296,    move graph 500 to top-level test directory
11339296,    graph 500 benchmark
11339296,    start work on merging nicks fcontext work
11339296,    rename confusing benchmark folder name
11339296,    move graph 500 to top-level test directory
11339296,    graph 500 benchmark
11339296,    start work on merging nicks fcontext work
11339296,    start work on merging nicks fcontext work
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Added RTAB-Map100.png logo of 100 pixels height for main readme to fix docker main page <a><img> tags not supported
11339361,    appveyor.yml update
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    incremented release version in readme
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Update README.md
11339361,    Create README.md
11339361,    Update README.md
11339361,"    Docker: added new ""latest"" version of jfr2018 image (including VINS and latest rtabmap version). Updated jfr2018 scripts to easily switch to host installed rtabmap instead of docker"
11339361,"    updated jfr2018 docker image (made it standalone, depending only on ubuntu:16.04 image)"
11339361,    Update README.md
11339361,    Added jfr2018 docker image to reproduce kitti/euroc/tum results from the corresponding paper
11339361,    Added OptimizerCeres class (Optimizer/Strategy=3)
11339361,    Added OptimizerCeres class (Optimizer/Strategy=3)
11339378,    docs
11339378,    docs
11339378,    docs
11339378,    docs
11339378,    docs
11339378,    docs
11339378,    Initial commit
11339516,    initial commit
11339618,    Initial commit
11339741,    Support more than one MPT HBA in one system.
11339741,    Autodetect the mpt2sas/mpt3sas device file
11339741,    
11339741,    Closes #7
11339741,    Add Travis-CI image for build status
11339741,    Add decoding samples to README.md and
11339741,    Add license info
11339741,    Initial commit
11339916,    Create README.md
11339962,    Adding stuff to add to Readme
11339962,    Adding stuff to add to Readme
11339962,    Fixing typo
11339962,    Initial commit
11340412,    add README
11340835,    Initial commit
11340964,    docsite: Update url
11340964,    Fix licenses
11340964,    Remove duplicated info about dependencies
11340964,    Removed references to CAmkES Next from the README
11340964,    Added dependency info to readme file
11340964,    Moved README.md to History.md and hopefully fixed image
11340964,    Add a README that explains 'next's relation to 'master'.
11340964,"    Moved all graphing logic to graph widget. Logic for saving, auto layout and zooming"
11340964,    Graph_controller: Support creating Connection Widget specific to the type
11340964,"    Connection_widget: draw icons for different connection types. Pen thicker. ""Angle"" now mean distance between control point and straight line between source and destination. Code will be made clearer later."
11340964,"    Instance_widget: changed to choose a ""angle"" (as per the new definition). Chooses angle better"
11340964,    More feature/idea
11340964,    Able to handle scientific notation numbers
11340964,    Updated read me with more ideas and features
11340964,    Added stuff about Milestone 2 to readme
11340964,    Second attempt to fixing picture link + page break
11340964,    Fixing picture link and page breaks (attempting to)
11340964,    Added more to milestone 1 and started a bit on milestone 2
11340964,    Added Milestone 1 goal
11340964,    Updated README to include a brief description of the project. More to come shortly
11340964,    Initialised Git
11340964,    Add components directory and basic infrastructure
11340964,    
11340964,"    This commit adds a components directory, where future shared components"
11340964,    for general use are placed.
11340964,    Fix licenses
11340964,    Basic support for translating to XML.
11340964,    
11340964,    This commit cherry-picks c5a175c98388c5843720585dda474dfbbe7ec4c0 from
11340964,    ssh://github.inside.nicta.com.au/mfernandez/project.
11340964,    docsite: Update url
11340964,    Run licence tool over files
11340964,    Fix whitespace
11340964,    
11340964,    - remove trailing whitespace
11340964,    - remove duplicate blank lines
11340964,    - remote blank lines at end of file
11340964,    Change visual camkes link to public wiki
11340964,    Change sudo pip install to pip instal --user
11340964,    Removed unnecessary lines: cd /some/temp/dir...
11340964,    Added a README which explains how to install the dependies
11340964,    Run licence tool over files
11340964,    Fix licenses
11340964,    Refactored parser init commit.
11340964,    README: Updated README with virtqueue info
11340964,    
11340964,    Updated the README with virtqueue documentation.
11340964,    README: Updated libsel4camkes README
11340964,    
11340964,    Updated the libsel4camkes README to reflect Kbuild archival.
11340964,    Fix licenses
11340964,    Refactored parser init commit.
11340964,    Release snapshot
11340964,    cdl-refine-tests: update README.md
11340964,    cdl-refine-tests: update README
11340964,    cdl-refine-tests: update paths for current repo directory structure
11340964,    add temporary test suite for CapDL refinement proofs
11340964,    
11340964,    Currently not attached to the main test runner. See the README.md for
11340964,    more information on how to run it.
11340964,    
11340964,    Resolves VER-987.
11340964,    Fix whitespace
11340964,    
11340964,    - remove trailing whitespace
11340964,    - remove duplicate blank lines
11340964,    - remote blank lines at end of file
11340964,    Fix licenses
11340964,    Moved camkes branch of libsel4muslcsys to its own directory
11340964,    Release snapshot
11340964,    Release snapshot
11341496,    Update makefile to enable debug & release compilations (without cleaning)
11341496,    Add note about OpenGL issue when cross-compiling
11341496,    Update README.md
11341496,    Updated README.md with missing information
11341496,    Updated README.md
11341496,    Updated README.md
11341496,    Update README.md
11341496,    
11341496,    Fixed a small typo
11341496,    Added rule to compile with emscript
11341496,    Update README.md
11341496,    Created README.md
11341496,    WIP: Add debug functionalities
11341496,    Refactored more stuff
11341496,    
11341496,    - All tests are compiled directly into the its directory
11341496,"    - All assets were moved to the test directory (hence, why its compiled directly there)"
11341496,    Updated Tiled plugin to work with the latest version
11341496,    Added README to the tiled plugin
11341496,    Rename LICENSE.md
11341496,    Create LICENSE
11341560,    Update README.md
11341560,    [Bootloader] First commit
11341560,    Initial commit
11342052,    Update README.md
11342052,    Create README.md
11342054,    Initial commit
11342613,    Initial commit
11342698,    Updating Readme with links to other repos
11342698,    Updated documentation
11342698,    Format README.md with subsections
11342698,    
11342698,    Having actual section headers instead of just bold text makes those parts of the document individually linkable.
11342698,    Made instructions more clear.
11342698,    
11342698,    Not sure what happened to my last commit so this includes that one + reordering the steps.
11342698,    Add comments about RAMPS 5V rail for servos.
11342698,    Clarifying M280 command in Bed Auto Leveling section.
11342698,    Bed Auto Leveling feature
11342698,    
11342698,    Check the Readme for instruction how to enable and configure the feature
11342698,    Update read me. Added comment about products that have a patent.
11342698,    Support dual x-carriage printers
11342698,    
11342698,    Dual x-carriage designs offer some substantial improvements for dual
11342698,    extruder printing.
11342698,    Added : M32  - Select file and start SD print (Can be used when printing from SD card)
11342698,    Untested
11342698,    M109 and M190 now wait when cooling down if R is used instead of S.
11342698,    M109 S180 waits only when heating.
11342698,    M109 R180 also waits when cooling.
11342698,    Apply all changes from latest Marlin_V1
11342698,    
11342698,"    Diffed and merged, preserving my updates"
11342698,    Updated README.md
